country,count_2010,count_2018,abs_change,pct_change,burden_q
Afghanistan,12246738.0,14834701.0,2587963.0,21.131855682713223,Q4_highest
Albania,61.0,47.0,-14.0,-22.950819672131146,Q1_lowest
Algeria,10260.0,10909.0,649.0,6.325536062378168,Q2
Andorra,0.0,0.0,0.0,,Q1_lowest
Angola,15879207.0,15220708.0,-658499.0,-4.146926228746813,Q4_highest
Antigua and Barbuda,134.0,1201.0,1067.0,796.2686567164179,Q2
Argentina,953102.0,162233.0,-790869.0,-82.97842203667604,Q3
Armenia,41986.0,39149.0,-2837.0,-6.757014242842853,Q2
Australia,89732.0,20123.0,-69609.0,-77.57433245664869,Q2
Austria,31.0,41.0,10.0,32.25806451612903,Q1_lowest
Azerbaijan,1080371.0,1655112.0,574741.0,53.19848459464388,Q3
Bahamas,10.0,10.0,0.0,0.0,Q1_lowest
Bahrain,3.0,1.0,-2.0,-66.66666666666666,Q1_lowest
Bangladesh,102000000.0,56339394.0,-45660606.0,-44.7653,Q4_highest
Barbados,2917.0,67.0,-2850.0,-97.70311964346932,Q2
Belarus,0.0,0.0,0.0,,Q1_lowest
Belgium,1.0,1.0,0.0,0.0,Q1_lowest
Belize,10456.0,2158.0,-8298.0,-79.36113236419281,Q2
Benin,7239210.0,5685180.0,-1554030.0,-21.46684513917955,Q4_highest
Bhutan,69529.0,222639.0,153110.0,220.21027197284587,Q2
Bolivia (Plurinational State of),3340916.0,194759.0,-3146157.0,-94.17049096714794,Q3
Bosnia and Herzegovina,1.0,0.0,-1.0,-100.0,Q1_lowest
Botswana,264669.0,238203.0,-26466.0,-9.999659952620064,Q3
Brazil,27000000.0,9489512.0,-17510488.0,-64.85365925925926,Q4_highest
Brunei Darussalam,15000.0,1.0,-14999.0,-99.99333333333334,Q2
Bulgaria,295.0,1.0,-294.0,-99.66101694915255,Q2
Burkina Faso,17860380.0,10152760.0,-7707620.0,-43.1548488889934,Q4_highest
Burundi,4018578.0,5484235.0,1465657.0,36.47203065362922,Q4_highest
Cabo Verde,170442.0,125137.0,-45305.0,-26.580889686814285,Q3
Cambodia,4533102.0,4182394.0,-350708.0,-7.736600676534524,Q4_highest
Cameroon,19286214.0,16537416.0,-2748798.0,-14.252657364478067,Q4_highest
Canada,0.0,0.0,0.0,,Q1_lowest
