country,year,basic_pct,safe_pct,quality_gap
Albania,2017,97.72,39.86,57.86
Albania,2016,97.7,39.85,57.85
Albania,2015,97.69,39.84,57.849999999999994
Albania,2014,97.68,39.83,57.85000000000001
Albania,2013,97.31,39.6,57.71
Albania,2012,96.78,39.3,57.480000000000004
Albania,2011,96.18,38.97,57.21000000000001
Albania,2010,95.57,38.64,56.92999999999999
Albania,2009,94.94,38.29,56.65
Albania,2008,94.28,37.94,56.34
Albania,2007,93.6,37.62,55.98
Albania,2006,92.9,37.72,55.18000000000001
Albania,2005,92.18,37.82,54.36000000000001
Albania,2004,91.44,37.93,53.51
Albania,2003,90.68,38.09,52.59
Albania,2002,89.9,38.25,51.650000000000006
Albania,2001,89.1,38.43,50.669999999999995
Albania,2000,88.33,38.61,49.72
Algeria,2017,87.59,17.69,69.9
Algeria,2016,87.54,17.71,69.83000000000001
Algeria,2015,87.5,17.74,69.76
Algeria,2014,87.33,17.81,69.52
Algeria,2013,87.16,17.88,69.28
Algeria,2012,86.97,17.94,69.03
Algeria,2011,86.77,18.01,68.75999999999999
Algeria,2010,86.56,18.07,68.49000000000001
Algeria,2009,86.34,18.13,68.21000000000001
Algeria,2008,86.1,18.19,67.91
Algeria,2007,85.85,18.24,67.61
Algeria,2006,85.58,18.29,67.28999999999999
Algeria,2005,85.31,18.34,66.97
Algeria,2004,85.02,18.38,66.64
Algeria,2003,84.72,18.43,66.28999999999999
Algeria,2002,84.4,18.47,65.93
Algeria,2001,84.07,18.5,65.57
Algeria,2000,83.73,18.53,65.2
Andorra,2017,100.0,100.0,0.0
Andorra,2016,100.0,100.0,0.0
Andorra,2015,100.0,100.0,0.0
Andorra,2014,100.0,100.0,0.0
Andorra,2013,100.0,100.0,0.0
Andorra,2012,100.0,100.0,0.0
Andorra,2011,100.0,93.63,6.3700000000000045
Andorra,2010,100.0,86.45,13.549999999999997
Andorra,2009,100.0,79.27,20.730000000000004
Andorra,2008,100.0,72.08,27.92
Andorra,2007,100.0,64.9,35.099999999999994
Andorra,2006,100.0,57.71,42.29
Andorra,2005,100.0,50.53,49.47
Andorra,2004,100.0,43.34,56.66
Andorra,2003,100.0,36.16,63.84
Andorra,2002,100.0,28.97,71.03
Andorra,2001,100.0,21.79,78.21000000000001
Andorra,2000,100.0,14.6,85.4
Armenia,2017,93.64,48.22,45.42
Armenia,2016,93.41,48.3,45.11
Armenia,2015,93.06,48.32,44.74
Armenia,2014,92.63,48.28,44.349999999999994
Armenia,2013,92.21,48.25,43.959999999999994
Armenia,2012,91.79,48.21,43.580000000000005
Armenia,2011,91.38,48.17,43.209999999999994
Armenia,2010,90.96,48.14,42.81999999999999
Armenia,2009,90.55,48.1,42.449999999999996
Armenia,2008,90.14,48.05,42.09
Armenia,2007,89.73,48.01,41.720000000000006
Armenia,2006,89.32,47.97,41.349999999999994
Armenia,2005,88.91,47.9,41.01
Armenia,2004,88.5,47.8,40.7
Armenia,2003,88.09,47.69,40.400000000000006
Armenia,2002,87.68,47.59,40.09
Armenia,2001,87.28,47.48,39.800000000000004
Armenia,2000,86.9,47.37,39.53000000000001
Australia,2017,99.99,75.64,24.349999999999994
Australia,2016,99.99,74.76,25.22999999999999
Australia,2015,99.99,73.88,26.11
Australia,2014,99.99,73.0,26.989999999999995
Australia,2013,99.99,72.12,27.86999999999999
Australia,2012,99.99,71.24,28.75
Australia,2011,99.99,70.37,29.61999999999999
Australia,2010,99.99,69.49,30.5
Australia,2009,99.99,68.61,31.379999999999995
Australia,2008,99.99,67.73,32.25999999999999
Australia,2007,99.99,66.85,33.14
Australia,2006,99.99,65.97,34.019999999999996
Australia,2005,99.99,65.09,34.89999999999999
Australia,2004,99.99,64.21,35.78
Australia,2003,99.99,64.21,35.78
Australia,2002,99.99,64.21,35.78
Australia,2001,99.99,64.21,35.78
Australia,2000,99.99,64.21,35.78
Austria,2017,99.97,96.75,3.219999999999999
Austria,2016,99.97,96.73,3.239999999999995
Austria,2015,99.98,96.72,3.260000000000005
Austria,2014,99.98,96.71,3.2700000000000102
Austria,2013,99.98,96.7,3.280000000000001
Austria,2012,99.98,96.68,3.299999999999997
Austria,2011,99.98,96.68,3.299999999999997
Austria,2010,99.99,96.71,3.280000000000001
Austria,2009,99.99,96.73,3.259999999999991
Austria,2008,99.99,96.75,3.239999999999995
Austria,2007,99.99,96.78,3.2099999999999937
Austria,2006,99.99,96.8,3.1899999999999977
Austria,2005,99.99,96.82,3.1700000000000017
Austria,2004,100.0,96.85,3.1500000000000057
Austria,2003,100.0,96.87,3.1299999999999955
Austria,2002,100.0,96.89,3.1099999999999994
Austria,2001,100.0,96.92,3.0799999999999983
Austria,2000,100.0,96.94,3.0600000000000023
Bahrain,2017,100.0,96.0,4.0
Bahrain,2016,100.0,96.0,4.0
Bahrain,2015,100.0,96.0,4.0
Bahrain,2014,100.0,96.0,4.0
Bahrain,2013,100.0,96.0,4.0
Bahrain,2012,100.0,96.0,4.0
Bahrain,2011,100.0,96.0,4.0
Bahrain,2010,99.99,95.99,4.0
Bahrain,2009,99.98,95.98,4.0
Bahrain,2008,99.96,95.96,4.0
Bahrain,2007,99.95,95.95,4.0
Bahrain,2006,99.94,95.94,4.0
Bahrain,2005,99.92,95.92,4.0
Bahrain,2004,99.91,95.91,4.0
Bahrain,2003,99.89,95.89,4.0
Bahrain,2002,99.88,95.88,4.0
Bahrain,2001,99.87,95.87,4.0
Bahrain,2000,99.85,95.85,4.0
Belarus,2017,97.79,80.52,17.27000000000001
Belarus,2016,97.78,80.39,17.39
Belarus,2015,97.76,81.51,16.25
Belarus,2014,97.75,82.62,15.129999999999995
Belarus,2013,97.16,83.37,13.789999999999992
Belarus,2012,96.57,84.11,12.459999999999994
Belarus,2011,95.99,84.83,11.159999999999997
Belarus,2010,95.41,85.53,9.879999999999995
Belarus,2009,94.84,86.22,8.620000000000005
Belarus,2008,94.28,86.9,7.3799999999999955
Belarus,2007,93.73,87.55,6.180000000000007
Belarus,2006,93.18,88.19,4.990000000000009
Belarus,2005,92.64,88.81,3.8299999999999983
Belarus,2004,92.11,89.42,2.6899999999999977
Belarus,2003,91.58,90.01,1.5699999999999932
Belarus,2002,91.61,90.04,1.5699999999999932
Belarus,2001,91.64,90.07,1.5700000000000074
Belarus,2000,91.67,90.09,1.5799999999999983
Belgium,2017,99.49,97.1,2.3900000000000006
Belgium,2016,99.49,97.1,2.3900000000000006
Belgium,2015,99.49,97.1,2.3900000000000006
Belgium,2014,99.49,94.83,4.659999999999997
Belgium,2013,99.49,92.55,6.939999999999998
Belgium,2012,99.49,91.61,7.8799999999999955
Belgium,2011,99.49,90.94,8.549999999999997
Belgium,2010,99.49,90.27,9.219999999999999
Belgium,2009,99.49,89.6,9.89
Belgium,2008,99.49,88.93,10.559999999999988
Belgium,2007,99.49,88.26,11.22999999999999
Belgium,2006,99.49,87.59,11.899999999999991
Belgium,2005,99.49,86.92,12.569999999999993
Belgium,2004,99.48,86.25,13.230000000000004
Belgium,2003,99.48,85.58,13.900000000000006
Belgium,2002,99.48,85.57,13.91000000000001
Belgium,2001,99.48,85.57,13.91000000000001
Belgium,2000,99.48,85.57,13.91000000000001
Bolivia (Plurinational State of),2017,60.72,22.94,37.78
Bolivia (Plurinational State of),2016,58.8,22.22,36.58
Bolivia (Plurinational State of),2015,56.91,21.51,35.39999999999999
Bolivia (Plurinational State of),2014,55.05,20.81,34.239999999999995
Bolivia (Plurinational State of),2013,53.21,20.12,33.09
Bolivia (Plurinational State of),2012,51.39,19.44,31.95
Bolivia (Plurinational State of),2011,49.58,18.76,30.819999999999997
Bolivia (Plurinational State of),2010,47.8,18.09,29.709999999999997
Bolivia (Plurinational State of),2009,46.04,17.43,28.61
Bolivia (Plurinational State of),2008,44.32,16.78,27.54
