country,year,catex_pct
Afghanistan,2013,14.63
Afghanistan,2007,4.84
Albania,2012,16.72
Albania,2008,13.91
Albania,2005,19.51
Albania,2002,23.37
Albania,1996,7.39
Angola,2008,12.38
Argentina,2004,16.9
Argentina,1996,9.7
Armenia,2013,16.05
Armenia,2012,13.9
Armenia,2011,12.8
Armenia,2010,5.51
Armenia,2009,4.43
Armenia,2008,4.52
Armenia,2007,4.21
Armenia,2006,10.83
Armenia,2005,12.04
Armenia,2004,16.46
Armenia,2003,10.61
Armenia,2002,11.47
Armenia,2001,11.99
Armenia,1999,15.35
Australia,2010,3.71
Austria,1999,4.31
Azerbaijan,2005,8.12
Azerbaijan,2004,7.63
Azerbaijan,2003,6.99
Azerbaijan,2002,6.97
Bahamas,2013,2.69
Bangladesh,2016,24.67
Bangladesh,2010,13.86
Bangladesh,2005,12.34
Bangladesh,2000,14.85
Barbados,2016,16.37
Belarus,2016,9.16
Belarus,2015,7.78
Belarus,2014,5.78
Belarus,2013,6.23
Belarus,2012,4.38
Belarus,2011,3.27
Belarus,2010,3.04
Belarus,2009,3.22
Belarus,2008,2.87
Belarus,2007,2.23
Belarus,2006,2.64
Belarus,2005,2.01
Belarus,2004,2.73
Belarus,2003,3.59
Belarus,2002,3.46
Belarus,2001,1.84
Belarus,2000,1.24
Belarus,1999,0.9
Belarus,1998,0.66
Belgium,2010,11.45
Belgium,1997,4.85
Benin,2011,10.92
Benin,2003,11.11
Bhutan,2017,1.79
Bhutan,2012,4.01
Bhutan,2007,3.43
Bhutan,2003,5.38
Bolivia (Plurinational State of),2015,6.02
Bolivia (Plurinational State of),2012,2.53
Bolivia (Plurinational State of),2011,3.83
Bolivia (Plurinational State of),2008,4.08
Bolivia (Plurinational State of),2002,8.23
Bolivia (Plurinational State of),2001,7.9
Bolivia (Plurinational State of),2000,11.06
Bolivia (Plurinational State of),1999,12.21
Bosnia and Herzegovina,2015,8.18
Bosnia and Herzegovina,2011,8.56
Bosnia and Herzegovina,2007,10.25
Bosnia and Herzegovina,2004,5.58
Bosnia and Herzegovina,2001,14.56
Botswana,2009,1.0
Botswana,1993,8.54
Brazil,2008,25.56
Bulgaria,2010,12.84
Bulgaria,2007,13.74
Bulgaria,2001,8.77
Bulgaria,2000,8.81
Bulgaria,1997,1.77
Bulgaria,1995,2.09
Burkina Faso,2014,3.13
Burkina Faso,2009,3.52
Burkina Faso,2003,8.46
Burkina Faso,1998,10.98
Burundi,2013,3.29
Burundi,1998,2.36
Burundi,1986,4.32
Cabo Verde,2007,2.05
Cabo Verde,2001,2.81
Cambodia,2014,15.27
Cambodia,2009,19.97
Cameroon,2014,10.78
Cameroon,2007,9.97
Cameroon,2001,10.48
Cameroon,1996,22.87
Canada,2010,2.64
Canada,2007,2.33
Canada,2004,1.92
Canada,2000,1.45
Canada,1994,2.1
Central African Republic,2008,6.75
Chad,2003,6.28
Chile,2016,14.6
Chile,2011,11.33
Chile,2006,9.19
Chile,1997,9.89
China,2013,19.72
China,2007,17.71
China,2002,16.58
China,2000,12.23
China,1995,5.78
Colombia,2016,8.19
Colombia,2010,16.92
Colombia,2008,20.01
Colombia,1997,21.31
Comoros,2014,8.81
Congo,2011,4.58
Congo,2005,12.57
Costa Rica,2012,9.84
Costa Rica,2004,4.36
Costa Rica,1992,1.26
Côte d’Ivoire,2015,12.43
Côte d’Ivoire,2008,17.44
Côte d’Ivoire,2002,19.08
Côte d’Ivoire,1998,19.77
Côte d’Ivoire,1988,12.31
Côte d’Ivoire,1987,11.29
Côte d’Ivoire,1986,16.77
Côte d’Ivoire,1985,17.77
Croatia,2010,2.8
Croatia,2009,2.46
Croatia,2008,2.27
Croatia,2004,2.39
Croatia,1998,4.77
Cyprus,2010,16.07
Czechia,2010,2.22
Czechia,1999,0.5
Democratic Republic of the Congo,2012,4.82
Democratic Republic of the Congo,2004,3.93
Denmark,2010,2.93
Denmark,1997,2.32
Djibouti,2002,1.14
Djibouti,1996,1.42
Dominican Republic,2007,17.66
Ecuador,2013,10.31
Ecuador,2011,18.37
Ecuador,1998,9.14
Egypt,2012,26.2
Egypt,2008,12.55
Egypt,1997,7.64
El Salvador,2014,1.69
Estonia,2007,12.76
Estonia,2006,14.58
Estonia,2005,10.79
Estonia,2004,11.57
Estonia,2003,10.04
Estonia,2002,7.15
Estonia,2001,6.77
Estonia,2000,6.63
Estonia,1995,3.01
Eswatini,2009,13.39
Ethiopia,2015,4.91
Ethiopia,2011,1.96
Ethiopia,2004,0.82
Ethiopia,1999,1.58
Fiji,2008,0.78
Fiji,2002,3.37
Finland,2010,6.35
Finland,1998,7.52
France,2010,1.42
Gabon,2005,5.67
Gambia,2015,0.2
Gambia,2010,0.61
Gambia,2003,0.43
Georgia,2013,29.21
Georgia,2012,27.66
Georgia,2011,28.17
Georgia,2010,28.47
Georgia,2009,29.03
Georgia,2008,22.73
Georgia,2007,20.35
Georgia,2006,18.71
Georgia,2005,17.39
Georgia,2004,14.54
Georgia,2003,14.65
Georgia,2002,16.55
Georgia,2001,13.95
Georgia,2000,12.38
Georgia,1999,8.0
Georgia,1998,6.8
Georgia,1997,8.0
Germany,2010,1.72
Ghana,2012,1.11
Ghana,2005,3.11
Ghana,1998,5.97
Ghana,1991,4.73
Greece,2016,16.89
Greece,2010,14.64
Greece,1998,15.33
Guatemala,2014,1.36
Guatemala,2011,9.36
Guatemala,2000,3.68
Guinea,2012,6.97
Guinea,2007,4.3
Guinea,2002,9.67
Guinea-Bissau,2002,5.49
Guyana,1993,2.74
Haiti,2013,11.54
Haiti,2012,9.43
Honduras,2004,1.14
Honduras,1998,3.45
Hungary,2010,7.38
Hungary,2007,11.54
Hungary,2006,10.09
Hungary,2005,10.62
Hungary,2004,10.27
Hungary,2003,12.37
Hungary,2002,9.7
Hungary,2001,8.34
Hungary,2000,8.26
Hungary,1999,6.96
Hungary,1998,6.03
Iceland,1995,6.9
India,2011,17.33
India,2009,13.31
India,2007,12.98
India,2006,16.84
India,2004,15.49
India,2003,15.41
India,2001,14.86
India,2000,13.79
Indonesia,2018,2.71
Indonesia,2015,3.61
Indonesia,2014,4.38
Indonesia,2013,3.74
Indonesia,2012,3.45
Indonesia,2011,3.87
Indonesia,2010,3.45
Indonesia,2009,3.5
Indonesia,2007,2.54
Indonesia,2006,1.81
Indonesia,2005,2.14
Indonesia,2004,2.06
Indonesia,2003,1.95
Indonesia,2002,2.29
Indonesia,2001,2.56
Iran (Islamic Republic of),2013,15.81
Iran (Islamic Republic of),2012,13.87
Iran (Islamic Republic of),2011,14.12
Iran (Islamic Republic of),2010,13.72
Iran (Islamic Republic of),2009,13.72
Iran (Islamic Republic of),2008,12.6
Iran (Islamic Republic of),2007,11.41
Iran (Islamic Republic of),2006,11.47
Iran (Islamic Republic of),2005,11.31
Iraq,2012,3.29
Iraq,2006,3.29
Ireland,2010,6.4
Ireland,2009,5.59
Ireland,1999,5.59
Israel,2012,6.72
Israel,2010,6.35
Israel,2007,8.71
Israel,2005,8.51
Israel,2001,8.51
Israel,1999,7.47
Israel,1997,5.86
Italy,2010,9.29
Italy,2001,8.81
Jamaica,2004,10.2
Jamaica,2003,10.37
Jamaica,2002,10.38
Jamaica,1997,5.74
Jamaica,1996,5.81
Jamaica,1995,7.69
Jamaica,1994,8.81
Jamaica,1993,12.46
Jamaica,1992,9.7
Jamaica,1991,10.12
Jamaica,1990,7.04
Japan,2015,4.36
Japan,2014,4.62
Japan,2013,3.93
Japan,2012,4.17
Japan,2011,3.81
Japan,2010,4.35
Japan,2009,4.41
Jordan,2008,1.72
Jordan,2006,5.31
Jordan,2002,1.48
Kazakhstan,2015,2.56
Kazakhstan,2014,1.93
Kazakhstan,2013,1.83
Kazakhstan,2012,1.95
Kazakhstan,2011,1.94
Kazakhstan,2010,3.37
Kazakhstan,2009,2.69
Kazakhstan,2008,3.65
Kazakhstan,2007,3.56
Kazakhstan,2006,3.56
Kazakhstan,2005,1.76
Kazakhstan,2004,2.69
Kazakhstan,2003,2.28
Kazakhstan,2002,2.17
Kazakhstan,2001,2.19
Kazakhstan,1996,4.33
Kenya,2015,5.43
Kenya,2005,5.83
Kenya,1997,5.92
Kyrgyzstan,2016,3.47
Kyrgyzstan,2015,4.71
Kyrgyzstan,2014,2.84
Kyrgyzstan,2013,2.6
Kyrgyzstan,2012,2.17
Kyrgyzstan,2011,3.54
Kyrgyzstan,2010,3.67
Kyrgyzstan,2009,3.97
Kyrgyzstan,2008,3.67
Kyrgyzstan,2007,2.64
Kyrgyzstan,2006,3.96
Kyrgyzstan,2005,4.61
Lao People's Democratic Republic,2007,2.98
Lao People's Democratic Republic,2002,3.07
Latvia,2009,15.46
Latvia,2008,15.1
Latvia,2007,15.37
Latvia,2005,12.48
Latvia,2004,12.08
Latvia,2003,9.66
Latvia,2002,9.19
Latvia,2000,11.69
