country,year,dim1,catex_pct
Afghanistan,2013,Urban,11.11
Afghanistan,2007,Urban,2.25
Albania,2012,Urban,14.67
Albania,2008,Urban,15.77
Albania,2005,Urban,22.14
Albania,2002,Urban,16.93
Albania,1996,Urban,6.9
Angola,2008,Urban,11.9
Argentina,2004,Urban,17.35
Armenia,2013,Urban,18.79
Armenia,2012,Urban,10.28
Armenia,2011,Urban,13.63
Armenia,2010,Urban,6.23
Armenia,2009,Urban,4.69
Armenia,2008,Urban,4.48
Armenia,2007,Urban,4.14
Armenia,2006,Urban,11.72
Armenia,2005,Urban,11.97
Armenia,2004,Urban,16.8
Armenia,2003,Urban,11.35
Armenia,2002,Urban,11.33
Armenia,2001,Urban,13.33
Armenia,1999,Urban,15.33
Azerbaijan,2005,Urban,8.44
Azerbaijan,2004,Urban,7.56
Azerbaijan,2003,Urban,6.7
Azerbaijan,2002,Urban,7.14
Bangladesh,2016,Urban,21.0
Bangladesh,2010,Urban,8.27
Bangladesh,2005,Urban,11.76
Bangladesh,2000,Urban,15.92
Belarus,2016,Urban,7.76
Belarus,2015,Urban,7.12
Belarus,2014,Urban,6.28
Belarus,2013,Urban,6.6
Belarus,2012,Urban,4.59
Belarus,2011,Urban,3.23
Belarus,2010,Urban,3.02
Belarus,2009,Urban,3.11
Belarus,2008,Urban,2.66
Belarus,2007,Urban,1.95
Belarus,2006,Urban,2.3
Belarus,2005,Urban,1.82
Belarus,2004,Urban,2.35
Belarus,2003,Urban,3.41
Belarus,2002,Urban,3.37
Belarus,2001,Urban,2.05
Belarus,2000,Urban,1.62
Belarus,1999,Urban,1.13
Belarus,1998,Urban,0.88
Belgium,2010,Urban,11.35
Benin,2011,Urban,9.05
Benin,2003,Urban,10.26
Bhutan,2017,Urban,1.96
Bhutan,2012,Urban,2.64
Bhutan,2007,Urban,1.82
Bhutan,2003,Urban,3.93
Bolivia (Plurinational State of),2015,Urban,5.82
Bolivia (Plurinational State of),2012,Urban,2.72
Bolivia (Plurinational State of),2011,Urban,4.04
Bolivia (Plurinational State of),2008,Urban,3.75
Bolivia (Plurinational State of),2002,Urban,7.63
Bolivia (Plurinational State of),2001,Urban,7.46
Bolivia (Plurinational State of),2000,Urban,11.24
Bolivia (Plurinational State of),1999,Urban,11.19
Bosnia and Herzegovina,2015,Urban,7.68
Bosnia and Herzegovina,2011,Urban,7.71
Bosnia and Herzegovina,2007,Urban,8.75
Bosnia and Herzegovina,2004,Urban,4.88
Bosnia and Herzegovina,2001,Urban,13.8
Botswana,2009,Urban,1.28
Brazil,2008,Urban,25.74
Bulgaria,2010,Urban,8.88
Bulgaria,2007,Urban,14.51
Bulgaria,2001,Urban,9.11
Bulgaria,2000,Urban,8.54
Bulgaria,1997,Urban,2.06
Bulgaria,1995,Urban,2.24
Burkina Faso,2014,Urban,4.16
Burkina Faso,2009,Urban,4.63
Burkina Faso,2003,Urban,13.89
Burkina Faso,1998,Urban,17.34
Burundi,2013,Urban,5.26
Burundi,1998,Urban,3.82
Cabo Verde,2007,Urban,1.82
Cabo Verde,2001,Urban,3.11
Cambodia,2014,Urban,8.11
Cambodia,2009,Urban,14.95
Cameroon,2014,Urban,12.46
Cameroon,2007,Urban,7.7
Cameroon,2001,Urban,14.79
Cameroon,1996,Urban,17.84
Central African Republic,2008,Urban,6.3
Chad,2003,Urban,6.62
Chile,2006,Urban,9.17
China,2007,Urban,17.62
China,2002,Urban,18.23
China,1995,Urban,4.78
Colombia,2016,Urban,8.18
Colombia,2010,Urban,17.1
Colombia,2008,Urban,20.44
Congo,2011,Urban,3.28
Congo,2005,Urban,12.24
Costa Rica,2012,Urban,10.62
