country,pharm_per_10k,doc_per_10k,pharm_doc_ratio,catex_pct
Benin,0.27,0.79,0.34177215189873417,10.92
Mozambique,0.1,0.84,0.11904761904761905,1.61
Namibia,2.44,4.18,0.583732057416268,1.22
Nepal,3.95,7.49,0.527369826435247,10.71
France,10.64,32.67,0.32568105295378025,1.42
Ethiopia,0.36,0.77,0.4675324675324675,4.91
Austria,7.14,51.7,0.1381044487427466,4.31
Nigeria,1.26,3.81,0.33070866141732286,15.05
Norway,8.29,29.16,0.2842935528120713,5.09
Oman,5.57,20.03,0.2780828756864703,0.63
Estonia,10.89,44.83,0.24291768904751285,12.76
Pakistan,1.58,9.8,0.16122448979591836,4.47
Paraguay,0.32,13.54,0.023633677991137372,7.1
Egypt,4.57,4.52,1.011061946902655,26.2
Myanmar,0.74,6.77,0.10930576070901035,14.36
Montenegro,1.91,27.56,0.0693033381712627,10.27
Mauritania,0.18,1.87,0.0962566844919786,11.66
Guyana,0.09,8.02,0.011221945137157107,2.74
Haiti,0.3,2.34,0.12820512820512822,11.54
Hungary,8.08,34.08,0.23708920187793428,7.38
India,8.87,8.57,1.0350058343057176,17.33
Indonesia,0.85,4.27,0.19906323185011712,2.71
Iran (Islamic Republic of),2.93,15.84,0.1849747474747475,15.81
Iraq,3.27,7.08,0.461864406779661,3.29
Bangladesh,1.81,5.81,0.3115318416523236,24.67
Italy,10.95,39.77,0.275333165702791,9.29
Kenya,0.19,1.57,0.12101910828025478,5.43
Georgia,0.99,71.2,0.01390449438202247,29.21
Lebanon,12.93,21.04,0.6145437262357415,44.85
Malawi,0.056,0.36,0.15555555555555556,4.21
Maldives,3.47,45.63,0.07604646066184528,10.26
Mali,0.095,1.29,0.07364341085271317,6.48
Rwanda,0.72,1.34,0.5373134328358209,1.15
Guatemala,0.039,3.55,0.010985915492957746,1.36
Thailand,5.53,8.05,0.6869565217391304,2.22
Belgium,19.07,30.71,0.6209703679583197,11.45
Chile,5.26,25.91,0.20301042068699343,14.6
Sri Lanka,0.82,10.04,0.08167330677290836,5.42
United Kingdom of Great Britain and Northern Ireland,8.89,28.12,0.31614509246088196,1.64
Timor-Leste,1.89,7.22,0.26177285318559557,2.93
Zambia,0.44,11.87,0.03706823925863522,0.29
Bhutan,0.57,4.24,0.1344339622641509,1.79
Trinidad and Tobago,6.64,41.68,0.15930902111324374,3.88
Togo,0.27,0.77,0.35064935064935066,10.65
Zimbabwe,0.97,2.1,0.4619047619047619,2.09
Lithuania,9.85,63.53,0.15504486069573428,9.79
Luxembourg,7.03,30.09,0.23363243602525757,3.38
Gabon,0.59,6.82,0.08651026392961876,5.67
Turkey,3.52,18.49,0.1903731746890211,3.19
Tunisia,2.29,13.03,0.1757482732156562,18.36
Mauritius,4.2,25.33,0.16581129095933678,8.85
Brazil,6.83,21.64,0.3156192236598891,25.56
Morocco,2.6,7.31,0.3556771545827634,22.0
Lao People's Democratic Republic,2.46,3.73,0.6595174262734584,2.98
Iceland,5.11,40.78,0.12530652280529672,6.9
Greece,10.65,54.79,0.19437853622923892,16.89
Ghana,0.25,1.36,0.1838235294117647,1.11
Ireland,11.62,33.13,0.3507395110172049,6.4
Israel,8.01,46.25,0.17318918918918919,6.72
Germany,6.47,42.49,0.15227112261708636,1.72
Jordan,16.01,23.24,0.6888984509466438,1.72
Spain,11.55,38.72,0.2982954545454546,5.73
Chad,0.047,0.43,0.10930232558139535,6.28
Philippines,3.31,6.0,0.5516666666666666,6.31
Poland,7.73,23.79,0.3249264396805381,14.11
El Salvador,6.55,15.66,0.4182630906768838,1.69
Portugal,9.08,51.24,0.17720530835284934,18.38
Australia,8.81,36.78,0.23953235454051117,3.71
Republic of Korea,7.24,23.61,0.30664972469292673,21.78
Republic of Moldova,4.05,32.07,0.12628624883068287,18.68
Romania,9.07,29.81,0.3042603153304261,13.42
Senegal,0.11,0.69,0.15942028985507248,3.33
Czechia,6.87,41.21,0.16670710992477553,2.22
Switzerland,6.96,42.96,0.16201117318435754,19.7
Panama,2.08,15.69,0.13256851497769281,3.28
China,3.17,19.8,0.1601010101010101,19.72
Slovenia,6.85,30.86,0.2219701879455606,2.9
Congo,0.38,1.65,0.23030303030303031,4.58
Costa Rica,7.3,28.94,0.2522460262612301,9.84
Democratic Republic of the Congo,0.051,0.74,0.06891891891891891,4.82
Denmark,5.22,40.1,0.13017456359102245,2.93
Guinea,0.091,0.83,0.10963855421686747,6.97
Canada,11.24,23.11,0.48636953699697105,2.64
Cameroon,0.083,0.88,0.09431818181818183,10.78
Bolivia (Plurinational State of),2.25,15.9,0.14150943396226415,6.02
Cabo Verde,0.075,7.81,0.009603072983354674,2.05
Burkina Faso,0.13,0.85,0.15294117647058825,3.13
Afghanistan,0.47,2.78,0.16906474820143885,14.63
Guinea-Bissau,0.028,1.27,0.02204724409448819,5.49
Serbia,8.11,31.13,0.2605203983295856,8.05
Seychelles,4.7,21.21,0.2215935879302216,3.48
Sierra Leone,0.11,0.25,0.44,54.2
Singapore,5.09,22.94,0.2218831734960767,9.01
South Africa,2.72,9.05,0.3005524861878453,1.41
Sweden,7.73,39.84,0.19402610441767068,5.53
Syrian Arab Republic,10.66,12.87,0.8282828282828284,6.88
Viet Nam,3.39,8.28,0.4094202898550725,9.39
Jamaica,0.22,13.06,0.016845329249617153,10.2
